Model,RMSE,MAE,R2
Linear Regression,0.7230208847241316,0.5492460606516217,0.38180092255668185
Random Forest,0.48911581157591,0.338340068211228,0.7170888441785667
XGBoost,0.6358852507581727,0.47921432074435455,0.5218279672306544
